yearQuarter,state,totalRX
2020.5,DE,336
2020.75,DE,325
2021,DE,273
2012.5,FL,422
2012.75,FL,683
2013,FL,1153
2013.25,FL,1585
2013.5,FL,1367
2013.75,FL,1426
2014,FL,1351
2014.25,FL,1356
2014.5,FL,2139
2014.75,FL,2510
2015,FL,2623
2015.25,FL,2614
2015.5,FL,2686
2015.75,FL,2543
2016,FL,2775
2016.25,FL,3169
2016.5,FL,2996
2016.75,FL,3686
2017,FL,3203
2017.25,FL,4076
2017.5,FL,3568
2017.75,FL,3837
2018,FL,4177
2018.25,FL,4112
2018.5,FL,4164
2018.75,FL,4202
2019,FL,4045
2019.25,FL,4304
2019.5,FL,4061
2019.75,FL,3680
2020,FL,3589
2020.25,FL,2948
2020.5,FL,2881
2020.75,FL,2737
2021,FL,2811
2012.75,GA,19
2014.25,GA,14
2015,GA,27
2015.25,GA,14
2015.5,GA,15
2016,GA,44
2016.25,GA,91
2016.5,GA,115
2016.75,GA,90
2017,GA,130
2017.25,GA,103
2017.5,GA,380
2017.75,GA,307
2018,GA,459
2018.25,GA,525
2018.5,GA,1236
2018.75,GA,1241
2019,GA,1424
2019.25,GA,1360
2019.5,GA,1404
2019.75,GA,1170
2020,GA,1247
2020.25,GA,1035
2020.5,GA,1018
2020.75,GA,993
2021,GA,999
2012,HI,22
2012.25,HI,249
2012.5,HI,283
2012.75,HI,287
2013,HI,276
2013.25,HI,255
2013.5,HI,138
2013.75,HI,184
2014,HI,263
2014.25,HI,251
2014.5,HI,225
2014.75,HI,258
2015,HI,266
2015.25,HI,269
2015.5,HI,272
2015.75,HI,283
2016,HI,291
2016.25,HI,314
2016.5,HI,231
2016.75,HI,301
2017,HI,359
2017.25,HI,360
2017.5,HI,290
2017.75,HI,272
2018,HI,377
2018.25,HI,351
2018.5,HI,289
2018.75,HI,334
2019,HI,393
2019.25,HI,321
2019.5,HI,302
2019.75,HI,274
2020,HI,291
2020.25,HI,237
2020.5,HI,281
2020.75,HI,320
2021,HI,301
2012,IA,100
2012.25,IA,456
2012.5,IA,471
2012.75,IA,545
2013,IA,580
2013.25,IA,668
2013.5,IA,607
2013.75,IA,559
2014,IA,724
2014.25,IA,1136
2014.5,IA,887
2014.75,IA,844
2015,IA,974
2015.25,IA,1054
2015.5,IA,900
2015.75,IA,987
2016,IA,890
2016.25,IA,1137
2016.5,IA,510
2016.75,IA,517
2017,IA,621
2017.25,IA,777
2017.5,IA,790
2017.75,IA,567
2018,IA,456
2018.25,IA,442
2018.5,IA,444
2018.75,IA,408
2019,IA,359
2019.25,IA,827
2019.5,IA,1082
2019.75,IA,1067
2020,IA,1036
2020.25,IA,758
2020.5,IA,2177
2020.75,IA,2304
2021,IA,1949
2014.25,ID,12
2014.5,ID,14
2014.75,ID,12
2015,ID,27
2015.25,ID,43
2015.5,ID,46
2015.75,ID,54
