yearQuarter,state,totalRX
2017.75,PA,6101
2018,PA,6710
2018.25,PA,7818
2018.5,PA,8312
2018.75,PA,7942
2019,PA,8327
2019.25,PA,8443
2019.5,PA,8428
2019.75,PA,8370
2020,PA,10363
2020.25,PA,8861
2020.5,PA,9690
2020.75,PA,9668
2021,PA,6190
2014,RI,26
2014.25,RI,26
2014.75,RI,13
2015.5,RI,12
2016,RI,219
2016.25,RI,279
2016.5,RI,261
2016.75,RI,205
2017,RI,213
2017.25,RI,270
2017.5,RI,425
2017.75,RI,331
2018,RI,511
2018.25,RI,482
2018.5,RI,483
2018.75,RI,500
2019,RI,613
2019.25,RI,673
2019.5,RI,594
2019.75,RI,612
2020,RI,629
2020.25,RI,607
2020.5,RI,613
2020.75,RI,631
2021,RI,674
2012,SC,121
2012.25,SC,416
2012.5,SC,412
2012.75,SC,527
2013,SC,500
2013.25,SC,481
2013.5,SC,438
2013.75,SC,485
2014,SC,463
2014.25,SC,524
2014.5,SC,378
2014.75,SC,509
2015,SC,446
2015.25,SC,390
2015.5,SC,324
2015.75,SC,395
2016,SC,395
2016.25,SC,492
2016.5,SC,467
2016.75,SC,464
2017,SC,621
2017.25,SC,595
2017.5,SC,1080
2017.75,SC,1077
2018,SC,1103
2018.25,SC,1325
2018.5,SC,1294
2018.75,SC,1320
2019,SC,1449
2019.25,SC,1487
2019.5,SC,1427
2019.75,SC,1606
2020,SC,1664
2020.25,SC,1279
2020.5,SC,1387
2020.75,SC,1220
2021,SC,900
2012,SD,20
2012.25,SD,45
2012.5,SD,68
2012.75,SD,62
2013,SD,61
2013.25,SD,38
2013.5,SD,64
2013.75,SD,79
2014,SD,48
2014.25,SD,62
2014.5,SD,53
2014.75,SD,49
2015,SD,50
2015.25,SD,45
2015.5,SD,65
2015.75,SD,73
2016,SD,63
2016.25,SD,76
2016.5,SD,74
2016.75,SD,70
2017,SD,120
2017.25,SD,60
2017.5,SD,77
2017.75,SD,103
2018,SD,89
2018.25,SD,103
2018.5,SD,125
2018.75,SD,131
2019,SD,135
2019.25,SD,120
2019.5,SD,114
2019.75,SD,105
2020,SD,113
2020.25,SD,88
2020.5,SD,98
2020.75,SD,103
2021,SD,117
2012,TN,311
2012.25,TN,1141
2012.5,TN,1529
2012.75,TN,1530
2013,TN,1664
2013.25,TN,1567
2013.5,TN,1382
2013.75,TN,1495
2014,TN,1600
2014.25,TN,1607
2014.5,TN,1509
2014.75,TN,1416
2015,TN,1456
2015.25,TN,1555
2015.5,TN,1447
2015.75,TN,1663
2016,TN,1926
2016.25,TN,2163
2016.5,TN,2279
2016.75,TN,2209
2017,TN,2510
2017.25,TN,2489
2017.5,TN,2365
2017.75,TN,2505
2018,TN,2592
2018.25,TN,2648
2018.5,TN,2660
2018.75,TN,2656
2019,TN,2802
2019.25,TN,2658
2019.5,TN,2628
2019.75,TN,2536
2020,TN,2815
2020.25,TN,2452
2020.5,TN,2433
2020.75,TN,2330
2021,TN,2198
2012,TX,656
2012.25,TX,243
2012.5,TX,271
2012.75,TX,276
2013,TX,201
2013.25,TX,182
2013.5,TX,180
2013.75,TX,153
2014,TX,193
2014.25,TX,184
2014.5,TX,152
2014.75,TX,118
2015,TX,2254
2015.25,TX,2253
2015.5,TX,2212
2015.75,TX,1996
2016,TX,2297
2016.25,TX,2406
2016.5,TX,2380
2016.75,TX,2877
2017,TX,2938
2017.25,TX,2894
2017.5,TX,2933
2017.75,TX,3073
2018,TX,3072
2018.25,TX,3158
2018.5,TX,3370
2018.75,TX,3478
2019,TX,3507
2019.25,TX,3424
2019.5,TX,3658
2019.75,TX,3408
2020,TX,3307
2020.25,TX,2668
2020.5,TX,2725
2020.75,TX,2784
2021,TX,2549
2012,UT,190
2012.25,UT,412
2012.5,UT,358
2012.75,UT,343
2013,UT,375
2013.25,UT,257
2013.5,UT,275
2013.75,UT,252
2014,UT,358
2014.25,UT,400
2014.5,UT,356
2014.75,UT,374
2015,UT,337
2015.25,UT,399
2015.5,UT,302
2015.75,UT,294
2016,UT,409
2016.25,UT,229
2016.5,UT,278
2016.75,UT,246
2017,UT,309
2017.25,UT,301
2017.5,UT,246
2017.75,UT,303
2018,UT,430
2018.25,UT,474
2018.5,UT,494
2018.75,UT,502
2019,UT,491
2019.25,UT,660
2019.5,UT,728
2019.75,UT,731
2020,UT,906
2020.25,UT,834
2020.5,UT,722
2020.75,UT,716
2021,UT,676
2012,VA,236
2012.25,VA,551
2012.5,VA,565
2012.75,VA,468
2013,VA,610
2013.25,VA,566
2013.5,VA,561
2013.75,VA,569
2014,VA,612
2014.25,VA,597
2014.5,VA,608
2014.75,VA,591
2015,VA,503
2015.25,VA,520
2015.5,VA,590
2015.75,VA,609
2016,VA,713
2016.25,VA,709
2016.5,VA,745
2016.75,VA,778
2017,VA,879
2017.25,VA,898
2017.5,VA,1000
2017.75,VA,964
2018,VA,1493
2018.25,VA,1505
2018.5,VA,1756
2018.75,VA,1979
2019,VA,3618
2019.25,VA,4348
2019.5,VA,4573
2019.75,VA,4761
2020,VA,5146
2020.25,VA,4211
2020.5,VA,4287
2020.75,VA,4469
2021,VA,4409
2012,VT,217
2012.25,VT,522
2012.5,VT,434
2012.75,VT,411
2013,VT,528
2013.25,VT,563
2013.5,VT,449
2013.75,VT,492
2014,VT,522
2014.25,VT,602
2014.5,VT,481
2014.75,VT,562
2015,VT,686
2015.25,VT,669
2015.5,VT,523
2015.75,VT,542
2016,VT,609
2016.25,VT,576
2016.5,VT,532
2016.75,VT,514
2017,VT,602
2017.25,VT,576
2017.5,VT,533
2017.75,VT,574
2018,VT,610
2018.25,VT,524
2018.5,VT,558
2018.75,VT,557
2019,VT,599
2019.25,VT,654
2019.5,VT,549
2019.75,VT,512
2020,VT,541
2020.25,VT,480
2020.5,VT,465
2020.75,VT,484
2021,VT,514
2012,WA,31
2012.25,WA,145
2012.5,WA,702
2012.75,WA,433
2013,WA,853
2013.25,WA,710
2013.5,WA,1062
2013.75,WA,1118
2014,WA,1066
2014.25,WA,3201
2014.5,WA,2821
2014.75,WA,3301
2015,WA,2235
2015.25,WA,2177
2015.5,WA,1832
2015.75,WA,2309
2016,WA,2504
2016.25,WA,3153
2016.5,WA,3200
2016.75,WA,3177
2017,WA,3393
2017.25,WA,3259
2017.5,WA,4451
2017.75,WA,3438
2018,WA,3704
2018.25,WA,3650
2018.5,WA,3803
2018.75,WA,3646
2019,WA,4696
2019.25,WA,4776
2019.5,WA,5229
2019.75,WA,4854
2020,WA,5259
2020.25,WA,4527
2020.5,WA,4582
2020.75,WA,4800
2021,WA,4238
2012,WI,2102
2012.25,WI,4180
2012.5,WI,3807
2012.75,WI,3618
2013,WI,3957
2013.25,WI,3928
2013.5,WI,3550
2013.75,WI,3501
2014,WI,3668
2014.25,WI,4124
2014.5,WI,3938
2014.75,WI,3925
2015,WI,4232
2015.25,WI,3933
2015.5,WI,3611
2015.75,WI,3635
2016,WI,4240
2016.25,WI,4398
2016.5,WI,4242
2016.75,WI,4058
2017,WI,4587
2017.25,WI,4289
2017.5,WI,4112
2017.75,WI,4383
2018,WI,4647
2018.25,WI,4244
2018.5,WI,4268
2018.75,WI,4306
2019,WI,4374
2019.25,WI,4499
2019.5,WI,4299
2019.75,WI,4123
2020,WI,4479
2020.25,WI,3706
2020.5,WI,3924
2020.75,WI,3932
2021,WI,4320
2014,WV,97
2014.25,WV,373
2014.5,WV,474
2014.75,WV,442
2015,WV,272
2015.25,WV,396
2015.5,WV,361
2015.75,WV,238
2016,WV,310
2016.25,WV,397
2016.5,WV,417
2016.75,WV,341
2017,WV,391
2017.25,WV,543
2017.5,WV,38
2017.75,WV,24
2018,WV,146
2018.25,WV,598
2018.5,WV,606
2018.75,WV,579
2019,WV,540
2019.25,WV,638
2019.5,WV,575
2019.75,WV,700
2020,WV,574
2020.25,WV,453
2020.5,WV,479
2020.75,WV,414
2021,WV,418
2012,WY,13
2012.25,WY,97
2012.5,WY,60
2012.75,WY,67
2013,WY,116
2013.25,WY,85
2013.5,WY,75
2013.75,WY,53
2014,WY,55
2014.25,WY,67
2014.5,WY,87
2014.75,WY,65
2015,WY,67
2015.25,WY,61
2015.5,WY,60
2015.75,WY,39
2016,WY,59
2016.25,WY,86
2016.5,WY,66
2016.75,WY,78
2017,WY,113
2017.25,WY,79
2017.5,WY,63
2017.75,WY,69
2018,WY,81
2018.25,WY,89
2018.5,WY,84
2018.75,WY,58
2019,WY,50
2019.25,WY,57
2019.5,WY,57
2019.75,WY,69
2020,WY,40
2020.25,WY,33
2020.5,WY,66
2020.75,WY,65
2021,WY,65
